Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
green-tussar-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/green-tussar-saree-with-floral-motif-korasutra/4-dc051b2c.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
green-tussar-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845372/korasutra/products/images/green-tussar-saree-with-floral-motif-korasutra-csv-7-161edd3b9e.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,Lemon Green Linen Handloom Jamdani Saree Lotus Motif Needlework With Zari Pallu | Korasutra,"<p><span>Lemon Green Linen Handloom Jamdani Saree by Korasutra is a celebration of timeless craftsmanship and contemporary elegance. Woven in breathable linen, this saree features delicate Jamdani lotus motifs highlighted with intricate needlework, reflecting refined artisanal skill. The rich zari pallu adds a graceful shimmer, making it perfect for festive occasions, cultural gatherings, and elegant day wear. Lightweight, airy, and effortlessly stylish, this handloom saree blends comfort with heritage for the modern woman.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,6750.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788849/korasutra/products/images/lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu--0-6ab0fc43.png,1,,false,,,,,,,,,,,,,,,,,green,linen,one-size,,,kg,,,active
lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/0-6ab0fc43.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/1-6c920a48.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/2-64c26c9a.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/3-0c2949ce.png,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/lemon-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/4-b84d949d.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra,Dark Bottle Green Blended Silk Kantha Stitch Bird Motif | Korasutra,"<p><span>The Dark Bottle Green Blended Silk Kantha Stitch Saree with Bird Motif by Korasutra showcases refined craftsmanship and timeless elegance. Crafted in luxurious blended silk, this saree is adorned with intricate Kantha stitching and graceful bird motifs, adding depth and artisanal charm. The rich dark bottle green hue enhances its regal appeal, making it ideal for festive occasions, cultural gatherings, and elegant evening wear. Lightweight with a fluid drape, this saree blends tradition with contemporary sophistication.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,"Kantha stitch, Korasutra",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,6050.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788929/korasutra/products/images/dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra-0-6819d43e.png,1,,false,,,,,,,,,,,,,,,,,green,blended-silk,one-size,,,kg,,,active
dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra/0-6819d43e.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra/1-eed60a1f.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra/2-13f8dc0e.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/dark-bottle-green-blended-silk-kantha-stitch-bird-motif-korasutra/3-068fd799.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra,Chocolate Brown Tissue Tussar Jamdani Saree With Lotus Needlework |  Korasutra,"<p><span>The Chocolate Brown Tissue Tussar Jamdani Saree with Lotus Needlework by Korasutra is a celebration of timeless craftsmanship. Woven in luxurious tissue tussar, this elegant saree features intricate Jamdani detailing highlighted with delicate lotus needlework. The rich chocolate brown hue adds depth and sophistication, making it perfect for festive occasions, cultural celebrations, and refined evening wear. Lightweight yet opulent, this saree drapes beautifully for a graceful, statement look.<br></span>Length is 6.5m with blouse piece </p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,"elegant saree, festive saree, hand needlework saree, handcrafted saree, jamdani saree, Korasutra, lightweight saree, premium handloom saree, Tissue",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,14499.00,,true,true,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra/0-9ed988e5.jpg,1,,false,,,,,,,,,,,,,,,,,chocolate; brown,tussar,one-size,,,kg,,,active
chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra/1-77257dbe.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra/2-ba29463a.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra/3-4bd470f4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/chocolate-brown-tissue-tussar-jamdani-saree-with-lotus-needlework-korasutra/4-f8b9a3fe.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra,Bottle Green Linen Muslin Silk Saree With Bird Motifs | Korasutra,"<p><span>Bottle Green Linen Muslin Silk Saree with Bird Motifs by Korasutra blends elegance with nature-inspired charm. Crafted from a luxurious linen muslin silk blend, this lightweight saree features delicate bird motifs that add a timeless, artistic appeal. Perfect for festive occasions, cultural events, and elegant day wear, it offers breathable comfort with a graceful drape. Style it with minimal jewelry for a refined ethnic look.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,"day wear saree, elegant saree, festive saree, fine muslin saree, hand needlework saree, handcrafted saree, Korasutra, Linen, Linen muslin, Muslin, premium handloom saree, Silk linen, summer saree",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,9750.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788939/korasutra/products/images/bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra-0-4c100b74.jpg,1,,false,,,,,,,,,,,,,,,,,green,silk-linen,one-size,,,kg,,,active
bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra/0-4c100b74.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra/1-2a3a900d.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra/2-68ebebf8.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra/3-eb4b3b27.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-muslin-silk-saree-with-bird-motifs-korasutra/4-d3f20665.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-product-admin,test product ADMIN,,Kora Sutra,Uncategorized,,,true,Title,Default Title,,,,,,,,,0.0,shopify,4,deny,manual,1000.00,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,kg,,,unlisted
x,Chocolate Brown Muslin Silk Saree with Zari Sequins Border | Korasutra,"<p><span>Shop elegant chocolate brown muslin silk saree with zari sequins border at Korasutra ( Kora Sutra) . Perfect for weddings, parties &amp; festive occasions. Buy online now. Apt for Party and Office </span></p>
<p><span>Length is 6.5m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,12599.00,,true,false,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788941/korasutra/products/images/x-0-ff9f2496.jpg,1,,false,,,,,,,,,,,,,,,,,brown; chocolate,silk-muslin,one-size,,,kg,,,active
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/x/0-44fa5594.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/x/1-081fe264.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/x/2-8b658c91.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/x/3-7c9e8698.png,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/x/4-63e192b4.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-30,Red Muslin Silk Saree with Zari Sequins Border | Korasutra,"<p><span>Shop elegant red muslin silk saree with zari sequins border from Korasutra ( Kora Sutra) .Perfect for weddings, festive wear &amp; special occasions. Premium quality, timeless style.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KSMNRD27,0.0,shopify,1,deny,manual,12599.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788947/korasutra/products/images/untitled-jan21-14-30-0-21af6645.jpg,1,,false,,,,,,,,,,,,,,,,,red,silk-muslin,one-size,,,kg,,,active
untitled-jan21_14-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-30/0-f1b6f5f6.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-30/1-7f7ab725.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-30/2-77cd9497.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-30/3-d3c2f7e9.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-30/4-de98711c.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-29,Blue Muslin Silk Saree with Zari Sequins Border | Korasutra,"<p><span>Shop elegant blue muslin silk saree with zari and sequin border at Korasutra. Lightweight, graceful and perfect for weddings, parties, and festive occasions.</span></p>
<p><span>Apt for Party and Office </span></p>
<p><span>Lenth with blouse piece is 6.5m</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KS-MN-BE-001,0.0,shopify,1,deny,manual,12599.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788951/korasutra/products/images/untitled-jan21-14-29-0-680a3f20.jpg,1,,false,,,,,,,,,,,,,,,,,blue,silk-muslin,one-size,,,kg,,,active
untitled-jan21_14-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-29/0-dc8a0ec2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-29/1-feb7f864.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-29/2-976dcf9a.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan21_14-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan21_14-29/3-b68a0054.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan20_19-07,Purple Tussar Baluchari Saree With Swan Motifs | Korasutra,"<p><span>Shop the Purple Tussar Baluchari Saree with elegant swan motifs at Korasutra. A luxurious handwoven silk saree, perfect for weddings and festive wear.</span></p>
<p><span>Length 6.5m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,13500.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788849/korasutra/products/images/untitled-jan20-19-07-0-7b845e68.jpg,1,,false,,,,,,,,,,,,,,,,,purple,tussar,one-size,,,kg,,,active
untitled-jan20_19-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan20_19-07/0-7b845e68.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan20_19-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan20_19-07/1-b8849a46.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan20_19-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan20_19-07/2-325dc0d4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan20_19-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan20_19-07/3-35213af3.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan20_19-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan20_19-07/4-54bb8619.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,Brown Linen Jamdani Saree Lotus Motif Needlework With Zari Pallu | Korasutra,"<p><span>Upgrade your ethnic wardrobe with the brown Linen Handloom Jamdani Saree from Korasutra. Handwoven by skilled artisans, this saree showcases intricate lotus motif needlework and a luxurious zari pallu that adds a regal touch. Crafted from premium linen, it is lightweight, breathable, and perfect for summer wear, festive celebrations, office wear, and refined casual occasions. A beautiful fusion of heritage craftsmanship and contemporary style.</span></p>
<p><span>Length is 6.5m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KSLN029,0.0,shopify,0,deny,manual,4250.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788842/korasutra/products/images/maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-koras-0-280a946f.jpg,1,,false,,,,,,,,,,,,,,,,,brown,linen,one-size,,,kg,,,active
maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/0-280a946f.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/1-3d9b9237.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/2-2a46360a.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/maroon-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/3-9e20415c.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,Bottle Green Linen Handloom Jamdani Saree Lotus Motif Needlework With Zari Pallu | Korasutra,"<p><span>Shop Bottle Green Linen Handloom Jamdani Saree with lotus motif needlework and zari pallu from Korasutra. Elegant, breathable, perfect festive wear.</span></p>
<p><span>Length 6.5m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KSLNGN13,0.0,shopify,1,deny,manual,6750.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788906/korasutra/products/images/bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-0-140d599b.jpg,1,,false,,,,,,,,,,,,,,,,,green,linen,one-size,,,kg,,,active
bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/0-140d599b.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/1-afe1088f.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/2-6959cd1e.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/3-b8881428.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/bottle-green-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/4-a6ae208f.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,Purple Linen Handloom Jamdani Saree Lotus Motif Needlework With Zari Pallu | Korasutra,"<p><span>Enhance your ethnic wardrobe with the Purple Linen Handloom Jamdani Saree from Korasutra. Handwoven by skilled artisans, this saree features intricate lotus motif needlework and a rich zari pallu that adds a regal touch. Crafted from premium linen, it is lightweight, breathable, and perfect for summer wear, festive celebrations, office wear, and elegant casual occasions. A beautiful fusion of heritage craftsmanship and contemporary style.</span></p>
<p><span>Length is 6.5m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KSLNPE16,0.0,shopify,1,deny,manual,6625.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788910/korasutra/products/images/purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-koras-0-b07c5c90.jpg,1,,false,,,,,,,,,,,,,,,,,purple,linen,one-size,,,kg,,,active
purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/0-b07c5c90.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
